Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
48,Tarik Black,C,25,LAL,67,1091,15.0,.560,.007,.371,13.8,20.7,17.1,5.3,1.3,3.3,14.5,15.7,1.5,0.9,2.4,.105,-1.8,0.2,-1.6,0.1
49,Eric Bledsoe,PG,27,PHO,66,2176,20.6,.563,.300,.443,2.5,13.8,8.0,31.1,2.0,1.2,15.3,28.1,4.0,1.4,5.4,.119,3.7,-0.4,3.3,2.9
50,Bojan Bogdanovic,SF,27,TOT,81,2083,13.5,.585,.464,.288,1.9,12.3,7.2,8.7,0.8,0.3,12.0,22.4,2.0,0.9,2.9,.067,-0.1,-2.8,-2.8,-0.4
51,Andrew Bogut,C,32,TOT,27,583,9.3,.460,.012,.136,10.6,33.9,21.7,12.3,1.2,3.9,33.4,10.4,-0.3,1.0,0.7,.055,-5.6,5.3,-0.3,0.3
52,Joel Bolomboy,PF,23,UTA,12,53,19.7,.590,.250,.375,9.0,27.6,18.5,6.3,1.0,3.1,9.7,18.2,0.1,0.1,0.2,.171,-1.3,0.5,-0.8,0.0
53,Devin Booker,SG,20,PHO,78,2730,14.6,.531,.283,.308,1.8,8.3,5.0,16.3,1.3,0.6,12.9,28.6,1.4,0.6,2.0,.035,0.4,-2.7,-2.3,-0.2
54,Trevor Booker,PF,29,BRK,71,1754,15.7,.554,.132,.186,8.7,25.5,17.2,12.9,2.1,1.2,16.6,18.7,0.9,2.2,3.1,.086,-1.6,1.8,0.2,1.0
55,Avery Bradley,SG,26,BOS,55,1835,14.4,.548,.357,.120,4.0,16.2,10.1,10.9,1.8,0.5,9.7,21.9,1.1,2.0,3.1,.080,-0.2,-0.4,-0.5,0.7
56,Corey Brewer,SF,30,TOT,82,1281,9.1,.491,.339,.195,2.7,11.5,7.1,10.7,2.3,1.2,12.7,14.3,0.0,1.2,1.2,.045,-2.9,0.2,-2.7,-0.2
57,Malcolm Brogdon,SG,24,MIL,75,1982,14.9,.555,.304,.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,2.6,1.5,4.1,.100,0.6,-1.1,-0.5,0.8
58,Aaron Brooks,PG,32,IND,65,894,9.5,.507,.427,.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.3,.016,-2.1,-2.6,-4.6,-0.6
59,Anthony Brown,SF,24,TOT,11,159,7.2,.430,.540,.000,5.3,16.9,11.0,7.6,1.5,0.5,10.7,15.6,-0.2,0.2,0.0,.002,-3.8,-0.2,-4.0,-0.1
60,Bobby Brown,PG,32,HOU,25,123,10.8,.509,.583,.033,0.0,5.3,2.7,17.6,0.4,0.0,7.6,22.7,0.1,0.0,0.1,.040,-1.5,-6.1,-7.6,-0.2
61,Jaylen Brown,SF,20,BOS,78,1341,10.3,.539,.319,.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,1.5,.053,-3.1,-0.9,-4.0,-0.7
62,Nicolas Brussino,SF,23,DAL,54,521,10.7,.498,.674,.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16.0,0.0,0.6,0.6,.055,-1.7,0.7,-1.0,0.1
63,Reggie Bullock,SF,25,DET,31,467,11.7,.538,.570,.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4,0.4,0.5,1.0,.101,-0.4,0.5,0.1,0.2
64,Trey Burke,PG,24,WAS,57,703,10.8,.532,.275,.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,0.3,0.3,0.5,.036,-2.3,-3.4,-5.7,-0.7
65,Alec Burks,SG,25,UTA,42,653,11.6,.501,.306,.315,3.1,17.7,10.6,7.5,1.4,0.6,11.0,22.7,-0.1,0.9,0.8,.056,-3.3,-0.9,-4.2,-0.4
66,Jimmy Butler,SF,27,CHI,76,2809,25.1,.586,.198,.540,4.9,13.2,9.0,24.8,2.6,0.9,9.3,26.5,10.1,3.8,13.8,.236,5.8,1.1,6.9,6.3
67,Bruno Caboclo,SF,21,TOR,9,40,14.6,.438,.375,.000,14.2,14.1,14.1,15.1,2.5,2.2,11.1,20.1,0.0,0.1,0.1,.083,0.1,0.7,0.8,0.0
68,Jose Calderon,PG,35,TOT,41,539,8.9,.506,.478,.090,3.0,12.2,7.5,23.3,1.0,0.2,22.7,14.4,0.0,0.3,0.3,.023,-2.9,-1.8,-4.7,-0.4
69,Kentavious Caldwell-Pope,SG,23,DET,76,2529,12.8,.519,.471,.199,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2,2.0,2.5,4.5,.086,0.9,0.0,0.9,1.9
70,Isaiah Canaan,SG,25,CHI,39,592,8.1,.483,.543,.191,1.1,7.9,4.5,9.0,1.9,0.1,9.6,15.3,0.0,0.5,0.5,.044,-2.2,-1.2,-3.4,-0.2
71,Clint Capela,C,22,HOU,65,1551,21.4,.638,.000,.314,12.5,24.5,18.5,6.9,1.1,4.2,12.0,19.9,3.9,2.1,6.0,.185,0.0,1.0,1.0,1.2
72,DeMarre Carroll,SF,30,TOR,72,1882,11.9,.531,.583,.213,3.8,12.7,8.3,5.7,2.2,1.2,8.3,15.5,1.7,2.1,3.8,.097,0.6,0.4,1.0,1.4
73,Vince Carter,SF,40,MEM,73,1799,11.7,.542,.604,.235,2.2,12.5,7.2,11.5,1.7,1.9,8.5,14.9,1.9,2.1,4.0,.106,0.1,0.9,1.0,1.4
74,Michael Carter-Williams,PG,25,CHI,45,846,9.9,.437,.209,.252,3.0,16.4,9.7,20.0,2.3,2.2,16.3,20.9,-1.0,1.3,0.2,.013,-4.1,1.7,-2.4,-0.1
75,Omri Casspi,SF,28,TOT,36,643,9.9,.523,.261,.176,4.9,15.2,10.1,8.6,1.8,0.4,14.0,14.5,0.1,0.4,0.5,.037,-2.5,-0.6,-3.0,-0.2
76,Willie Cauley-Stein,C,23,SAC,75,1421,16.4,.558,.004,.314,7.0,20.5,13.8,9.4,1.9,2.9,11.2,19.6,1.4,1.5,3.0,.100,-2.0,0.9,-1.1,0.3
77,Tyson Chandler,C,34,PHO,47,1298,16.6,.703,.000,.544,12.6,33.1,22.6,3.3,1.2,1.5,19.2,11.3,2.7,1.3,4.0,.149,-0.7,0.3,-0.4,0.5
78,Wilson Chandler,SF,29,DEN,71,2197,14.9,.545,.347,.207,5.2,17.7,11.5,9.8,1.2,1.1,10.0,22.0,2.4,1.1,3.6,.078,0.5,-1.3,-0.8,0.7
79,Marquese Chriss,PF,19,PHO,82,1743,12.3,.529,.354,.286,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,0.3,1.5,1.8,.050,-1.6,0.0,-1.6,0.2
80,Rakeem Christmas,PF,25,IND,29,219,10.4,.529,.000,.674,13.5,15.2,14.4,2.5,0.7,2.4,12.5,13.1,0.3,0.2,0.5,.099,-3.0,-1.2,-4.3,-0.1
81,Semaj Christon,PG,24,OKC,64,973,5.7,.387,.283,.139,2.2,7.9,5.0,18.1,1.4,0.5,15.4,12.2,-0.7,0.8,0.1,.006,-5.0,-1.3,-6.3,-1.1
82,Ian Clark,SG,25,GSW,77,1137,13.1,.575,.376,.134,2.3,9.1,5.9,11.2,1.7,0.6,10.7,19.5,1.0,1.3,2.3,.099,-0.6,-1.4,-2.0,0.0
83,Jordan Clarkson,SG,24,LAL,82,2397,13.1,.526,.332,.157,2.2,9.3,5.6,14.4,1.8,0.3,12.5,23.3,0.5,0.7,1.2,.024,-0.5,-2.3,-2.7,-0.4
84,Norris Cole,PG,28,OKC,13,125,5.4,.381,.250,.192,0.0,9.8,4.9,16.3,3.1,0.0,11.0,21.5,-0.2,0.2,-0.1,-0.033,-6.5,-1.7,-8.2,-0.2
85,Darren Collison,PG,29,SAC,68,2063,15.3,.570,.245,.239,1.3,7.2,4.3,24.5,1.6,0.4,12.6,19.8,3.1,0.8,3.9,.091,0.8,-2.3,-1.5,0.3
86,Nick Collison,PF,36,OKC,20,128,12.8,.622,.043,.348,7.8,18.2,13.0,13.2,0.8,1.2,13.1,10.1,0.3,0.1,0.4,.144,-1.7,-0.1,-1.8,0.0
87,Mike Conley,PG,29,MEM,69,2292,23.2,.604,.415,.365,1.5,10.8,6.0,34.5,2.1,0.8,11.8,26.3,7.5,2.5,10.0,.209,6.5,-0.7,5.8,4.5
88,Pat Connaughton,SG,24,POR,39,316,11.8,.645,.458,.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13.0,0.4,0.2,0.6,.090,-0.9,-1.6,-2.5,0.0
89,Quinn Cook,PG,23,TOT,14,188,11.8,.579,.394,.076,0.6,3.6,2.0,22.8,1.1,0.0,16.0,19.6,0.1,0.1,0.2,.047,-1.7,-4.2,-5.9,-0.2
90,DeMarcus Cousins,C,26,TOT,72,2465,25.7,.562,.254,.468,7.1,29.2,18.2,25.8,2.0,3.3,13.5,36.5,3.8,3.8,7.6,.149,3.9,2.6,6.6,5.3
91,Robert Covington,SF,26,PHI,67,2119,13.2,.534,.563,.238,4.8,17.9,11.3,7.5,2.9,2.6,13.9,19.2,0.0,3.2,3.1,.071,-0.7,2.0,1.4,1.8
92,Allen Crabbe,SG,24,POR,79,2254,11.6,.602,.467,.192,0.9,10.2,5.5,6.1,1.2,0.7,8.1,14.9,3.1,1.0,4.1,.088,0.3,-1.4,-1.1,0.5
93,Jamal Crawford,SG,36,LAC,82,2157,12.0,.526,.371,.234,0.9,5.7,3.3,15.1,1.4,0.5,12.3,22.7,0.5,1.4,1.9,.042,-1.0,-2.1,-3.0,-0.6
94,Jordan Crawford,SG,28,NOP,19,442,17.6,.582,.436,.119,0.9,7.2,4.1,22.7,1.2,0.4,9.8,25.5,0.6,0.3,0.9,.102,2.6,-3.0,-0.4,0.2
95,Jae Crowder,SF,26,BOS,72,2335,14.9,.613,.547,.301,2.3,17.3,9.9,10.1,1.5,0.8,8.8,17.0,4.2,2.5,6.7,.137,1.4,0.1,1.5,2.1
96,Dante Cunningham,SF,29,NOP,66,1649,10.2,.586,.504,.075,3.6,14.2,8.9,3.1,1.2,1.4,7.0,10.7,1.4,1.6,3.0,.088,-1.3,0.8,-0.5,0.6
97,Seth Curry,PG,26,DAL,70,2029,15.5,.601,.458,.142,1.4,9.2,5.1,15.9,2.0,0.3,11.0,19.5,2.9,1.7,4.6,.109,1.8,-0.4,1.4,1.7
98,Stephen Curry,PG,28,GSW,79,2638,24.6,.624,.547,.251,2.7,11.4,7.3,31.1,2.6,0.5,13.0,30.1,8.6,3.9,12.6,.229,7.7,-0.4,7.3,6.2
99,Troy Daniels,SG,25,MEM,67,1183,10.4,.531,.717,.109,2.0,7.9,4.8,6.6,0.9,0.3,8.0,21.7,0.5,0.8,1.3,.051,0.3,-3.4,-3.1,-0.3
100,Anthony Davis,C,23,NOP,75,2708,27.5,.579,.088,.424,6.7,27.9,17.3,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11.0,.196,1.4,2.3,3.7,3.9
101,Deyonta Davis,C,20,MEM,36,238,10.6,.528,.000,.383,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12.0,0.1,0.4,0.5,.097,-5.4,1.8,-3.6,-0.1
102,Ed Davis,PF,27,POR,46,789,11.5,.563,.000,.570,13.4,20.7,17.1,4.8,0.9,2.2,17.2,12.0,1.0,0.7,1.7,.104,-2.2,0.2,-2.0,0.0
103,Dewayne Dedmon,C,27,SAS,76,1330,16.0,.645,.000,.359,11.2,30.5,21.1,4.8,1.4,3.7,16.9,12.3,2.2,3.0,5.2,.188,-1.5,3.2,1.7,1.2
104,Sam Dekker,SF,22,HOU,77,1419,13.0,.549,.436,.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2,14.9,1.9,1.2,3.1,.105,-0.4,-0.6,-1.1,0.3
105,Malcolm Delaney,PG,27,ATL,73,1248,7.5,.456,.284,.240,1.0,9.8,5.5,23.1,1.5,0.1,18.1,18.3,-1.1,1.3,0.1,.005,-4.6,-1.2,-5.8,-1.2
106,Matthew Dellavedova,PG,26,MIL,76,1986,9.4,.501,.403,.180,1.4,7.1,4.3,25.7,1.4,0.0,18.8,16.3,0.3,0.9,1.2,.029,-1.9,-2.8,-4.7,-1.4
107,Luol Deng,SF,31,LAL,56,1486,10.1,.470,.389,.149,4.5,17.7,10.8,7.0,1.6,1.1,8.7,14.2,0.1,0.8,0.9,.029,-2.3,-0.2,-2.5,-0.2
108,DeMar DeRozan,SG,27,TOR,74,2620,24.0,.552,.080,.419,3.0,13.6,8.3,20.6,1.5,0.4,9.0,34.3,6.7,2.4,9.0,.166,2.4,-1.5,0.9,1.9
109,Cheick Diallo,PF,20,NOP,17,199,16.8,.510,.000,.276,12.1,26.7,19.3,3.2,1.0,2.9,7.6,20.5,0.2,0.3,0.5,.111,-4.6,-1.0,-5.6,-0.2
110,Boris Diaw,PF,34,UTA,73,1283,9.0,.494,.248,.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,-0.1,1.2,1.1,.041,-2.7,-0.2,-2.9,-0.3
111,Gorgui Dieng,PF,27,MIN,82,2653,14.2,.555,.065,.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14.0,3.2,2.5,5.7,.103,-0.5,2.2,1.7,2.5
112,Spencer Dinwiddie,PG,23,BRK,59,1334,12.7,.581,.334,.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,1.9,0.9,2.8,.101,-0.7,-0.2,-0.9,0.4
113,Toney Douglas,PG,30,MEM,24,394,10.6,.451,.359,.248,3.7,14.3,8.9,22.2,2.4,1.2,13.9,17.4,0.0,0.5,0.5,.060,-2.2,1.0,-1.2,0.1
114,Goran Dragic,PG,30,MIA,73,2459,19.7,.575,.257,.335,2.7,9.9,6.3,29.0,1.8,0.4,14.1,27.1,5.0,2.6,7.5,.147,3.4,-0.7,2.7,2.9
115,Andre Drummond,C,23,DET,81,2409,20.9,.518,.008,.390,15.1,36.3,25.3,5.9,2.6,3.1,12.5,22.4,1.4,5.3,6.7,.133,-2.1,2.9,0.8,1.7
116,Jared Dudley,PF,31,PHO,64,1362,10.6,.579,.587,.188,2.4,15.9,9.0,12.5,1.5,0.9,16.1,13.7,1.1,0.7,1.8,.065,-0.1,-0.1,-0.2,0.6
117,Mike Dunleavy,SF,36,TOT,53,841,10.1,.573,.609,.205,2.4,12.4,7.5,8.6,0.9,0.7,10.5,14.0,0.8,0.7,1.5,.086,-1.0,-1.2,-2.2,0.0
118,Kris Dunn,PG,22,MIN,78,1333,8.1,.432,.233,.188,2.1,12.6,7.3,19.4,3.0,2.3,20.8,14.2,-1.2,1.3,0.1,.004,-3.7,1.5,-2.2,-0.1
119,Kevin Durant,SF,28,GSW,62,2070,27.6,.651,.304,.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,8.0,4.0,12.0,.277,5.4,2.6,8.0,5.2
120,Jarell Eddie,SF,25,PHO,5,62,9.7,.523,.842,.474,1.7,10.8,6.1,0.0,0.8,0.0,4.2,16.2,0.1,0.0,0.1,.054,-1.5,-5.9,-7.3,-0.1
121,Henry Ellenson,PF,20,DET,19,146,7.5,.444,.547,.125,5.8,25.6,15.3,7.2,0.3,0.6,17.2,24.7,-0.4,0.2,-0.2,-0.071,-5.8,-2.4,-8.2,-0.2
122,Wayne Ellington,SG,29,MIA,62,1500,12.6,.565,.710,.077,1.3,8.6,4.9,7.1,1.2,0.2,5.0,17.9,2.1,1.2,3.3,.105,1.8,-1.9,-0.2,0.7
123,Monta Ellis,SG,31,IND,74,1998,10.0,.514,.242,.230,1.1,10.3,5.7,17.2,2.0,1.2,18.0,16.8,-0.7,1.7,1.1,.026,-2.5,0.2,-2.3,-0.2
124,Joel Embiid,C,22,PHI,31,786,24.1,.584,.228,.569,8.5,25.6,17.0,16.0,1.7,7.7,17.9,36.0,0.5,1.5,1.9,.117,0.0,3.2,3.2,1.0
125,James Ennis,SF,26,MEM,64,1501,10.6,.581,.427,.343,5.1,14.9,9.9,6.5,1.6,1.2,13.8,13.0,1.4,1.7,3.2,.101,-1.0,1.0,0.0,0.8
126,Tyler Ennis,PG,22,TOT,53,588,11.0,.521,.337,.120,1.8,6.8,4.3,21.7,2.1,0.3,17.0,19.1,0.1,0.3,0.4,.033,-2.1,-2.7,-4.7,-0.4
127,Tyreke Evans,SF,27,TOT,40,788,15.5,.501,.319,.249,1.8,17.1,9.5,25.9,2.2,1.0,12.9,26.7,-0.2,0.9,0.7,.045,-0.7,-0.1,-0.9,0.2
128,Dante Exum,PG,21,UTA,66,1228,8.6,.521,.410,.201,2.9,9.3,6.2,14.2,0.9,0.8,16.8,18.1,-0.1,1.3,1.2,.047,-2.0,-0.5,-2.5,-0.1
129,Kenneth Faried,PF,27,DEN,61,1296,20.3,.588,.014,.454,15.7,23.6,19.7,6.3,1.6,2.4,10.4,18.3,3.4,1.2,4.6,.169,0.9,-0.1,0.8,0.9
130,Jordan Farmar,PG,30,SAC,2,35,14.4,.500,.750,.000,3.3,6.5,4.9,38.6,2.9,0.0,20.0,19.4,0.0,0.0,0.0,.064,0.7,-3.8,-3.1,0.0
131,Derrick Favors,PF,25,UTA,50,1186,15.8,.512,.024,.261,9.2,20.2,14.9,7.9,2.0,2.7,11.4,20.7,0.5,2.2,2.7,.109,-2.4,2.3,-0.1,0.6
132,Kay Felder,PG,21,CLE,42,386,11.2,.462,.139,.310,0.9,10.5,5.9,22.7,2.3,1.5,14.7,24.3,-0.3,0.4,0.0,.004,-4.9,-1.2,-6.1,-0.4
133,Cristiano Felicio,C,24,CHI,66,1040,15.2,.601,.000,.419,12.8,19.5,16.1,5.7,1.2,1.2,11.2,12.4,2.1,1.3,3.4,.157,-0.6,0.5,-0.1,0.5
134,Raymond Felton,PG,32,LAC,80,1700,10.9,.496,.280,.125,2.2,11.8,7.1,16.3,2.0,1.1,13.3,16.5,0.2,1.8,2.0,.055,-1.8,0.9,-0.9,0.5
135,Yogi Ferrell,PG,23,TOT,46,1197,13.1,.533,.447,.226,1.8,9.2,5.3,23.2,1.8,0.7,13.9,19.6,0.8,1.0,1.8,.072,-0.1,-0.7,-0.7,0.4
136,Dorian Finney-Smith,PF,23,DAL,81,1642,7.7,.486,.574,.183,3.7,12.3,7.8,6.0,1.6,1.4,11.1,11.6,-0.1,1.5,1.4,.041,-2.8,1.3,-1.5,0.2
137,Bryn Forbes,SG,23,SAS,36,285,5.9,.462,.535,.061,0.8,8.2,4.6,11.7,0.2,0.0,9.8,17.9,-0.2,0.2,0.1,.014,-3.2,-2.8,-6.0,-0.3
138,Evan Fournier,SG,24,ORL,68,2234,13.9,.555,.387,.298,2.1,8.3,5.1,14.8,1.5,0.1,11.8,23.5,1.7,1.1,2.8,.059,0.8,-2.2,-1.3,0.4
139,Randy Foye,SG,33,BRK,69,1284,7.3,.506,.625,.194,0.8,11.9,6.4,15.2,1.3,0.5,18.5,14.4,-0.6,0.7,0.2,.006,-3.0,-1.0,-3.9,-0.6
140,Tim Frazier,PG,26,NOP,65,1525,12.4,.504,.317,.319,2.3,9.7,6.0,31.4,1.8,0.3,18.0,16.3,1.0,1.4,2.4,.075,-1.5,-0.7,-2.2,-0.1
141,Channing Frye,C,33,CLE,74,1398,15.6,.612,.644,.142,3.0,19.3,11.4,4.9,1.2,2.1,8.8,19.3,2.3,1.4,3.7,.125,0.8,-1.5,-0.6,0.5
142,Danilo Gallinari,SF,28,DEN,63,2134,17.4,.622,.432,.516,2.0,14.7,8.4,9.1,0.9,0.5,8.1,19.9,6.2,0.7,6.9,.154,2.9,-2.1,0.8,1.5
143,Langston Galloway,PG,25,TOT,74,1495,10.4,.510,.565,.117,1.9,9.3,5.6,9.4,1.5,0.3,7.4,18.4,0.2,1.1,1.3,.041,-0.9,-1.7,-2.6,-0.2
144,Patricio Garino,SG,23,ORL,5,43,-9.2,.000,.714,.000,2.5,15.6,8.9,0.0,0.0,0.0,30.0,10.2,-0.2,0.0,-0.2,-0.250,-14.1,-3.3,-17.3,-0.2
145,Marc Gasol,C,32,MEM,74,2531,20.2,.554,.231,.286,2.6,18.7,10.4,24.8,1.4,3.7,11.3,26.4,4.2,3.5,7.7,.145,2.1,2.2,4.2,4.0
146,Pau Gasol,C,36,SAS,64,1627,20.2,.578,.172,.305,7.6,26.8,17.4,14.7,0.8,3.5,10.6,21.3,3.3,3.1,6.4,.189,0.9,2.8,3.7,2.4
147,Rudy Gay,SF,30,SAC,30,1013,17.9,.559,.256,.312,4.0,17.5,10.8,13.9,2.2,2.3,12.8,25.8,0.8,1.0,1.8,.086,0.3,0.4,0.7,0.7
148,Michael Gbinije,SG,24,DET,9,32,-2.1,.184,.400,.200,6.6,3.5,5.1,7.9,0.0,0.0,0.0,15.0,-0.1,0.0,-0.1,-0.136,-7.7,-2.8,-10.4,-0.1
149,Alonzo Gee,SF,29,DEN,13,89,3.1,.306,.214,.643,5.0,13.5,9.3,8.2,2.7,0.9,18.2,10.5,-0.1,0.1,-0.1,-0.032,-5.6,1.0,-4.6,-0.1
150,Paul George,SF,26,IND,75,2689,20.2,.586,.368,.277,2.5,17.9,10.3,16.1,2.2,0.9,12.6,28.9,4.0,3.1,7.1,.127,3.1,-0.3,2.8,3.2
151,Marcus Georges-Hunt,SG,22,ORL,5,48,10.2,.614,.286,1.429,2.2,18.7,10.2,8.3,1.0,0.0,14.9,12.3,0.1,0.0,0.1,.107,-3.4,-1.3,-4.7,0.0
152,Jonathan Gibson,PG,29,DAL,17,231,9.5,.492,.474,.305,0.5,11.1,5.5,18.8,1.8,0.0,16.3,26.3,-0.3,0.2,-0.1,-0.030,-3.3,-2.2,-5.5,-0.2
153,Taj Gibson,PF,31,TOT,78,1989,15.1,.543,.018,.223,8.6,18.0,13.2,5.9,1.1,2.6,11.9,19.3,1.6,2.5,4.0,.098,-2.4,0.3,-2.1,0.0
154,Manu Ginobili,SG,39,SAS,69,1291,13.9,.532,.517,.244,2.5,11.1,6.9,20.8,3.2,1.0,16.5,20.4,0.6,2.4,3.0,.110,0.5,1.4,1.9,1.3
155,Rudy Gobert,C,24,UTA,81,2744,23.3,.682,.002,.763,13.6,29.5,21.8,5.7,0.9,6.4,15.1,16.7,8.3,6.0,14.3,.250,1.4,4.5,5.8,5.4
156,Archie Goodwin,SG,22,TOT,15,214,18.7,.651,.227,.636,3.5,10.3,6.9,18.5,0.9,1.8,14.2,19.8,0.6,0.1,0.7,.153,0.6,-1.7,-1.1,0.0
157,Aaron Gordon,SF,21,ORL,80,2298,14.4,.530,.309,.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2.0,1.7,3.7,.076,-0.2,-0.4,-0.7,0.8
158,Eric Gordon,SG,28,HOU,75,2323,13.1,.557,.651,.172,1.4,8.1,4.7,12.3,1.0,1.4,10.0,22.1,2.5,1.4,3.8,.079,1.0,-2.4,-1.4,0.4
159,Marcin Gortat,C,32,WAS,82,2556,15.5,.593,.003,.236,10.6,26.8,18.7,6.8,0.8,2.1,13.7,14.7,3.9,2.9,6.8,.128,-0.9,1.2,0.4,1.5
160,Treveon Graham,SG,23,CHO,27,189,10.6,.612,.375,.375,2.9,10.0,6.4,4.7,1.6,0.5,6.0,11.8,0.3,0.2,0.4,.108,-1.5,-1.3,-2.8,0.0
161,Jerami Grant,SF,22,TOT,80,1531,10.1,.556,.354,.448,2.7,12.2,7.4,4.2,1.1,4.1,10.1,12.1,1.1,1.8,2.9,.091,-3.0,0.9,-2.1,0.0
162,Jerian Grant,PG,24,CHI,63,1028,13.1,.555,.445,.243,1.8,9.9,5.8,17.3,2.3,0.6,11.7,16.0,1.3,1.2,2.5,.118,0.0,-0.3,-0.3,0.4
163,Danny Green,SG,29,SAS,68,1807,10.2,.537,.693,.071,2.0,11.8,7.0,9.6,2.0,2.6,14.1,13.5,0.4,3.0,3.4,.090,-0.3,2.7,2.4,2.0
164,Draymond Green,PF,26,GSW,76,2471,16.5,.522,.405,.328,4.6,20.9,13.3,27.6,3.0,3.4,19.8,16.2,2.8,5.4,8.2,.160,0.4,5.0,5.4,4.6
165,Gerald Green,SF,31,BOS,47,538,12.0,.524,.478,.177,3.6,13.9,8.8,9.8,0.8,1.1,9.1,22.7,0.1,0.4,0.6,.051,-1.9,-2.7,-4.7,-0.4
166,JaMychal Green,PF,26,MEM,77,2101,13.5,.601,.290,.334,8.8,21.1,14.8,6.3,1.1,1.5,14.1,14.4,3.1,2.6,5.8,.131,-0.4,1.0,0.6,1.4
167,Jeff Green,PF,30,ORL,69,1534,10.5,.505,.346,.301,2.7,12.8,7.6,8.1,1.2,0.7,10.6,20.3,-0.2,0.9,0.7,.022,-2.8,-1.8,-4.6,-1.0
168,Blake Griffin,PF,27,LAC,61,2076,22.7,.569,.116,.434,6.1,20.2,13.4,24.5,1.4,0.9,10.9,28.0,5.4,2.4,7.7,.179,3.2,1.3,4.4,3.4
169,Justin Hamilton,C,26,BRK,64,1177,13.6,.550,.478,.137,6.5,17.0,11.8,7.3,1.2,2.8,9.7,16.2,1.0,1.0,2.1,.084,-0.9,0.2,-0.8,0.4
170,A.J. Hammons,C,24,DAL,22,163,8.4,.472,.238,.476,5.4,20.9,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0.0,-0.001,-7.5,1.9,-5.6,-0.1
171,Tim Hardaway,SG,24,ATL,79,2154,15.2,.568,.457,.235,1.8,9.5,5.7,14.3,1.3,0.6,9.5,22.5,2.7,2.1,4.8,.107,1.3,-1.5,-0.3,0.9
172,James Harden,PG,27,HOU,81,2947,27.3,.613,.493,.575,3.5,20.9,12.2,50.7,2.0,1.0,19.5,34.2,11.5,3.6,15.0,.245,8.7,1.5,10.1,9.0
173,Maurice Harkless,SF,23,POR,77,2223,13.2,.570,.311,.199,6.2,10.8,8.5,6.0,1.9,2.5,11.1,15.1,2.4,1.9,4.2,.092,0.0,0.8,0.8,1.5
174,Justin Harper,PF,27,PHI,3,31,4.9,.500,.583,.000,7.1,10.7,8.9,10.5,0.0,0.0,25.0,22.4,-0.1,0.0,-0.1,-0.103,-5.1,-3.8,-8.8,-0.1
175,Montrezl Harrell,C,23,HOU,58,1064,19.2,.662,.020,.351,8.3,14.2,11.2,9.6,0.9,3.2,9.9,17.6,3.1,1.0,4.1,.183,0.8,0.2,0.9,0.8
176,Devin Harris,PG,33,DAL,65,1087,13.8,.549,.519,.378,1.1,13.0,6.8,20.0,2.1,0.6,12.5,19.7,1.1,1.1,2.2,.096,-0.1,-0.3,-0.4,0.4
177,Gary Harris,SG,22,DEN,57,1782,16.5,.611,.400,.210,3.0,8.0,5.5,13.6,1.9,0.3,9.8,18.4,3.9,0.7,4.6,.124,3.1,-1.6,1.5,1.6
178,Joe Harris,SG,25,BRK,52,1138,9.0,.558,.610,.135,1.5,12.0,6.8,7.3,1.2,0.5,12.5,16.5,0.1,0.6,0.8,.032,-1.4,-1.5,-3.0,-0.3
179,Manny Harris,SG,27,DAL,4,25,-2.2,.239,.133,.267,13.3,29.3,20.9,12.7,0.0,0.0,10.7,35.4,-0.2,0.0,-0.2,-0.364,-15.1,-3.8,-18.8,-0.1
180,Tobias Harris,PF,24,DET,82,2567,16.9,.568,.295,.213,2.6,15.6,8.8,8.8,1.2,1.3,7.6,21.7,4.0,2.8,6.9,.129,1.1,0.1,1.2,2.1
181,Aaron Harrison,SG,22,CHO,5,17,-2.2,.102,.500,.500,0.0,19.5,9.7,22.6,0.0,0.0,0.0,12.9,-0.1,0.0,-0.1,-0.146,-9.6,-2.1,-11.6,0.0
182,Andrew Harrison,PG,22,MEM,72,1474,8.7,.477,.433,.539,1.7,9.0,5.3,20.0,1.9,1.3,16.0,16.4,0.0,1.5,1.6,.051,-2.4,0.0,-2.5,-0.2
