Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
444,Greivis Vasquez,PG,30,BRK,3,39,4.1,.376,.375,.375,0.0,5.4,2.7,17.5,1.2,1.9,9.7,11.3,0.0,0.0,0.0,-0.006,-5.7,-1.8,-7.5,-0.1
445,Rashad Vaughn,SG,20,MIL,41,458,7.8,.449,.519,.032,1.0,11.3,6.2,7.4,2.1,1.9,8.1,17.2,-0.5,0.4,0.0,-0.005,-3.7,-1.2,-4.9,-0.3
446,Noah Vonleh,PF,21,POR,74,1265,10.8,.525,.074,.348,11.4,22.5,17.0,3.4,1.2,1.7,17.1,13.1,0.6,1.2,1.8,.069,-3.5,-0.3,-3.9,-0.6
447,Nikola Vucevic,C,26,ORL,75,2163,19.1,.498,.073,.155,8.6,31.2,19.6,16.9,1.8,2.8,9.6,24.8,0.8,3.2,4.0,.088,-1.3,2.4,1.1,1.7
448,Sasha Vujacic,SG,32,NYK,42,408,8.6,.423,.544,.176,3.2,12.4,7.8,17.9,1.6,0.4,9.8,17.3,-0.1,0.2,0.1,.014,-2.1,-2.2,-4.3,-0.2
449,Dwyane Wade,SG,35,CHI,60,1792,18.5,.508,.152,.294,3.8,12.6,8.2,22.4,2.4,1.8,11.3,29.6,0.9,2.5,3.4,.090,0.4,0.6,1.0,1.4
450,Dion Waiters,SG,25,MIA,46,1384,14.5,.507,.324,.192,1.4,11.0,6.2,23.8,1.5,1.1,12.5,26.3,0.2,1.5,1.6,.057,0.0,-0.8,-0.8,0.4
451,Kemba Walker,PG,26,CHO,79,2739,21.3,.569,.415,.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,5.9,2.2,8.1,.142,5.3,-1.7,3.6,3.9
452,John Wall,PG,26,WAS,78,2836,23.2,.541,.190,.367,2.3,10.6,6.5,46.9,2.7,1.4,16.2,30.6,5.7,3.0,8.8,.148,3.8,0.2,4.0,4.3
453,Taurean Waller-Prince,SF,22,ATL,59,981,9.8,.513,.358,.330,2.8,14.6,8.8,8.4,2.2,2.4,15.7,17.2,-0.4,1.5,1.1,.054,-3.8,1.5,-2.3,-0.1
454,T.J. Warren,SF,23,PHO,66,2048,15.6,.539,.120,.189,6.5,11.7,9.0,5.8,1.8,1.5,6.1,19.2,3.0,1.1,4.1,.096,0.2,-0.5,-0.3,0.9
455,C.J. Watson,PG,32,ORL,62,1012,9.3,.507,.423,.266,1.7,8.1,4.8,16.1,2.1,0.2,14.5,14.1,0.2,0.6,0.9,.041,-2.5,-1.1,-3.6,-0.4
456,Briante Weber,PG,24,TOT,20,205,11.0,.462,.167,.267,4.3,9.6,7.0,15.0,2.9,0.4,10.7,16.3,0.0,0.2,0.3,.059,-3.2,0.0,-3.2,-0.1
457,David West,C,36,GSW,68,854,16.6,.571,.032,.222,6.4,18.8,13.0,24.1,2.4,4.4,22.0,17.9,0.9,1.7,2.6,.148,-1.7,3.9,2.2,0.9
458,Russell Westbrook,PG,28,OKC,81,2802,30.6,.554,.300,.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,8.5,4.6,13.1,.224,10.9,4.7,15.6,12.4
459,Okaro White,PF,24,MIA,35,471,7.5,.507,.391,.253,5.8,13.5,9.6,6.0,1.1,1.7,15.7,10.8,0.1,0.5,0.6,.066,-3.1,0.9,-2.1,0.0
460,Isaiah Whitehead,PG,21,BRK,73,1643,7.5,.487,.293,.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2,-1.7,0.9,-0.8,-0.023,-4.3,-0.6,-4.9,-1.2
461,Hassan Whiteside,C,27,MIA,77,2513,22.6,.579,.000,.368,12.8,35.3,24.0,3.8,1.1,5.0,12.0,22.7,4.2,5.3,9.5,.181,-2.0,1.5,-0.5,0.9
462,Andrew Wiggins,SF,21,MIN,82,3048,16.5,.534,.184,.345,3.9,8.8,6.3,10.6,1.4,0.8,9.4,29.0,3.3,0.9,4.2,.066,0.2,-2.9,-2.7,-0.6
463,C.J. Wilcox,SG,26,ORL,22,108,2.9,.329,.484,.065,3.9,8.3,6.0,15.5,0.9,0.7,15.8,15.4,-0.2,0.0,-0.2,-0.090,-6.5,-2.2,-8.7,-0.2
464,Alan Williams,C,24,PHO,47,708,19.5,.547,.004,.419,14.0,31.2,22.4,5.2,1.8,3.7,10.5,20.9,1.1,0.9,2.1,.142,-1.8,0.2,-1.7,0.1
465,Deron Williams,PG,32,TOT,64,1657,14.0,.541,.390,.182,0.9,9.4,5.1,35.9,1.0,0.4,17.6,22.1,1.5,0.9,2.4,.069,0.2,-2.4,-2.3,-0.1
466,Derrick Williams,PF,25,TOT,50,804,10.6,.537,.398,.365,2.6,15.1,8.9,5.1,0.9,0.7,9.0,17.2,0.4,0.6,1.1,.064,-2.4,-1.8,-4.2,-0.4
467,Lou Williams,SG,30,TOT,81,1994,21.4,.593,.447,.458,1.4,9.9,5.5,19.9,1.9,0.8,11.8,29.1,5.1,1.0,6.1,.147,3.7,-3.0,0.8,1.4
468,Marvin Williams,PF,30,CHO,76,2295,13.7,.551,.503,.213,4.2,19.7,11.9,7.1,1.3,2.0,7.2,16.3,2.4,2.6,5.0,.105,-0.3,0.5,0.2,1.3
469,Reggie Williams,SF,30,NOP,6,79,11.7,.518,.478,.304,2.7,5.4,4.0,7.2,1.9,0.0,0.0,14.6,0.1,0.1,0.2,.098,-0.8,-1.6,-2.4,0.0
470,Troy Williams,SF,22,TOT,30,557,8.9,.511,.371,.192,3.0,11.2,7.0,7.0,2.5,1.7,15.4,17.2,-0.4,0.7,0.3,.030,-3.4,0.7,-2.7,-0.1
471,Kyle Wiltjer,PF,24,HOU,14,44,6.7,.437,.929,.143,9.9,14.9,12.4,6.1,3.3,1.8,25.2,19.1,-0.1,0.1,0.0,-0.039,-4.0,0.0,-4.0,0.0
